StateCode,State Name,Active Cases (Yesterday),Positive Cases (Yesterday),Cured Cases (Yesterday),Death Cases (Yesterday),Active Cases (Today),Positive Cases (Today),Cured Cases (Today),Death Cases (Today),Last Updated (IST)
35,Andaman and Nicobar Islands,3,10047,9915,129,3,10047,9915,129,04-Jun-2022 21:41:11
28,Andhra Pradesh,58,2319957,2305168,14731,61,2319966,2305174,14731,04-Jun-2022 21:41:11
12,Arunachal Pradesh,3,64508,64209,296,3,64508,64209,296,04-Jun-2022 21:41:11
18,Assam,10,724233,716237,7986,10,724233,716237,7986,04-Jun-2022 21:41:11
10,Bihar,42,830788,818490,12256,54,830803,818493,12256,04-Jun-2022 21:41:11
04,Chandigarh,122,92481,91194,1165,126,92500,91209,1165,04-Jun-2022 21:41:11
22,Chhattisgarh,62,1152476,1138380,14034,71,1152487,1138382,14034,04-Jun-2022 21:41:11
26,Dadra and Nagar Haveli and Daman and Diu,0,11441,11437,4,0,11441,11437,4,04-Jun-2022 21:41:11
07,Delhi,1490,1907637,1879935,26212,1446,1907982,1880324,26212,04-Jun-2022 21:41:11
30,Goa,185,245896,241879,3832,217,245946,241897,3832,04-Jun-2022 21:41:11
24,Gujarat,254,1225292,1214094,10944,267,1225338,1214127,10944,04-Jun-2022 21:41:11
06,Haryana,860,1003116,991635,10621,918,1003342,991803,10621,04-Jun-2022 21:41:11
02,Himachal Pradesh,55,285079,280888,4136,69,285100,280895,4136,04-Jun-2022 21:41:11
01,Jammu and Kashmir,56,454262,449454,4752,61,454271,449458,4752,04-Jun-2022 21:41:11
20,Jharkhand,39,435359,430001,5319,37,435365,430009,5319,04-Jun-2022 21:41:11
29,Karnataka,2204,3952577,3910266,40107,2229,3952836,3910500,40107,04-Jun-2022 21:41:11
32,Kerala,6990,6559623,6482880,69773,7505,6560901,6483623,69773,04-Jun-2022 21:41:11
37,Ladakh,8,28269,28033,228,8,28271,28035,228,04-Jun-2022 21:41:11
31,Lakshadweep,0,11402,11350,52,0,11402,11350,52,04-Jun-2022 21:41:11
23,Madhya Pradesh,254,1042643,1031653,10736,243,1042686,1031707,10736,04-Jun-2022 21:41:11
27,Maharashtra,4559,7889212,7736792,147861,5127,7890346,7737355,147864,04-Jun-2022 21:41:11
14,Manipur,10,137241,135111,2120,5,137241,135116,2120,04-Jun-2022 21:41:11
17,Meghalaya,3,93826,92230,1593,2,93826,92231,1593,04-Jun-2022 21:41:11
15,Mizoram,126,228372,227548,698,119,228391,227572,700,04-Jun-2022 21:41:11
13,Nagaland,0,35497,34736,761,0,35497,34736,761,04-Jun-2022 21:41:11
21,Odisha,134,1288465,1279205,9126,120,1288473,1279227,9126,04-Jun-2022 21:41:11
34,Puducherry,29,165874,163883,1962,36,165885,163887,1962,04-Jun-2022 21:41:11
03,Punjab,132,760391,742507,17752,111,760402,742538,17753,04-Jun-2022 21:41:11
08,Rajasthan,513,1285889,1275819,9557,485,1285921,1275879,9557,04-Jun-2022 21:41:11
11,Sikkim,0,39165,38713,452,0,39165,38713,452,04-Jun-2022 21:41:11
33,Tamil Nadu,711,3455758,3417022,38025,756,3455871,3417090,38025,04-Jun-2022 21:41:11
36,Telangana,521,793419,788787,4111,520,793468,788837,4111,04-Jun-2022 21:41:11
16,Tripura,0,100887,99964,923,0,100887,99964,923,04-Jun-2022 21:41:11
05,Uttarakhand,481,437921,429747,7693,492,437933,429748,7693,04-Jun-2022 21:41:11
09,Uttar Pradesh,888,2080081,2055673,23520,937,2080273,2055816,23520,04-Jun-2022 21:41:11
19,West Bengal,375,2019501,1997922,21204,378,2019543,1997961,21204,04-Jun-2022 21:41:11
